Ticker,,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Gain On Sale Of Ppe,Gain On Sale Of Business,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,General And Administrative Expense,Other Gand A,Salaries And Wages,Other Special Charges,Write Off,Selling And Marketing Expense,Earnings From Equity Interest Net Of Tax,Preferred Stock Dividends,Net Income Discontinuous Operations,Total Other Finance Cost,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Other Taxes
TSM,2023-12-31,442708766.369197,0.130998,1520127300000.0,3379500000.0,3379500000.0,851740000000.0,532190900000.0,986625200000.0,1523506800000.0,991315900000.0,48294500000.0,11999400000.0,60293900000.0,848803208766.3691,851740000000.0,1240305900000.0,,921465600000.0,5185853400.0,5185844600.0,161.7,161.7,851740000000.0,,851740000000.0,,851740000000.0,712300000.0,851027700000.0,851027700000.0,128288800000.0,979316500000.0,9592100000.0,1412400000.0,15700000.0,,48294500000.0,11999400000.0,60293900000.0,921429900000.0,253680700000.0,182370200000.0,71463500000.0,1175110600000.0,986625200000.0,2161735800000.0,2161735800000.0,,15700000.0,,4800200000.0,3363800000.0,-153000000.0,,,,,60872800000.0,60872800000.0,,,9500000.0,10590700000.0,,,,-48294000000.0,,,,
TSM,2022-12-31,457733710.337512,0.13179,1589603300000.0,3473200000.0,3473200000.0,992923400000.0,437254300000.0,915536500000.0,1593076500000.0,1155822200000.0,10672200000.0,11750000000.0,22422200000.0,989907933710.3375,992923400000.0,1142664800000.0,,1121278900000.0,5185838000.0,5185838000.0,196.0,196.0,992923400000.0,,992923400000.0,,992923400000.0,-371300000.0,993294700000.0,993294700000.0,150777500000.0,1144072200000.0,12173500000.0,1020500000.0,0.0,,10672200000.0,11750000000.0,22422200000.0,1121226500000.0,227128300000.0,163262200000.0,63445300000.0,1348354800000.0,915536500000.0,2263891300000.0,2263891300000.0,,0.0,,7679800000.0,3473200000.0,420800000.0,,,,,53524800000.0,53524800000.0,,,900000.0,9920500000.0,,,,,,,,
TSM,2021-12-31,611821333.110118,0.105809,1085062800000.0,5782300000.0,5782300000.0,592359200000.0,422394900000.0,767877700000.0,1090845100000.0,668450200000.0,294600000.0,5414200000.0,5708800000.0,587188721333.1101,592359200000.0,937431400000.0,,649980900000.0,5186076000.0,5186076000.0,115.05,115.05,592359200000.0,,592359200000.0,,592359200000.0,-521400000.0,592880600000.0,592880600000.0,70155400000.0,663036000000.0,12757800000.0,1462800000.0,0.0,,294600000.0,5414200000.0,5708800000.0,649983600000.0,169553700000.0,124734800000.0,44488200000.0,819537300000.0,767877700000.0,1587415000000.0,1587415000000.0,,0.0,,5512700000.0,5782300000.0,330700000.0,,,,,36929600000.0,36929600000.0,,,1300000.0,7558600000.0,,,,-294000000.0,,,,
WMT,2025-01-31,0.0,0.234,42010000000.0,,,19436000000.0,12973000000.0,511753000000.0,42010000000.0,29037000000.0,-2245000000.0,2728000000.0,483000000.0,19436000000.0,19436000000.0,651637000000.0,,29348000000.0,8081000000.0,8041000000.0,2.41,2.42,19436000000.0,,19436000000.0,,19436000000.0,-721000000.0,20157000000.0,20157000000.0,6152000000.0,26309000000.0,-794000000.0,-794000000.0,,,-2245000000.0,2728000000.0,483000000.0,29348000000.0,139884000000.0,,139884000000.0,169232000000.0,511753000000.0,680985000000.0,680985000000.0,,,,,,139884000000.0,,,,,,,,,,,,,,,,,,
WMT,2024-01-31,0.0,0.255,36384000000.0,0.0,0.0,15511000000.0,11853000000.0,490142000000.0,36384000000.0,24531000000.0,-2137000000.0,2683000000.0,546000000.0,15511000000.0,15511000000.0,621113000000.0,,27012000000.0,8109000000.0,8076000000.0,1.913333,1.92,15511000000.0,,15511000000.0,,15511000000.0,-759000000.0,16270000000.0,16270000000.0,5578000000.0,21848000000.0,-3027000000.0,-3027000000.0,0.0,,-2137000000.0,2683000000.0,546000000.0,27012000000.0,130971000000.0,,130971000000.0,157983000000.0,490142000000.0,648125000000.0,648125000000.0,,,,,,130971000000.0,,,,,,,,,,,,,,,,,,
WMT,2023-01-31,0.0,0.336,30089000000.0,0.0,0.0,11680000000.0,10945000000.0,463721000000.0,30089000000.0,19144000000.0,-1874000000.0,2128000000.0,254000000.0,11680000000.0,11680000000.0,590861000000.0,,20428000000.0,8202000000.0,8172000000.0,1.423333,1.43,11680000000.0,,11680000000.0,,11680000000.0,388000000.0,11292000000.0,11292000000.0,5724000000.0,17016000000.0,-1538000000.0,-1538000000.0,0.0,,-1874000000.0,2128000000.0,254000000.0,20428000000.0,127140000000.0,,127140000000.0,147568000000.0,463721000000.0,611289000000.0,611289000000.0,,,,,,127140000000.0,,,,,,,,,,,,,,,,,,
WMT,2022-01-31,-612140000.0,0.254,33758000000.0,-2410000000.0,-2410000000.0,13673000000.0,10658000000.0,429000000000.0,31348000000.0,20690000000.0,-1836000000.0,1994000000.0,158000000.0,15470860000.0,13673000000.0,546812000000.0,,25942000000.0,8415000000.0,8376000000.0,1.623333,1.633333,13673000000.0,,13673000000.0,,13673000000.0,-267000000.0,13940000000.0,13940000000.0,4756000000.0,18696000000.0,-5410000000.0,-3000000000.0,-2410000000.0,,-1836000000.0,1994000000.0,158000000.0,25942000000.0,117812000000.0,,117812000000.0,143754000000.0,429000000000.0,572754000000.0,572754000000.0,,,,,,117812000000.0,,,,,,,,2410000000.0,,,,,,,,,,
LLY,2024-12-31,-691432500.0,0.165,19418100000.0,-4190500000.0,-4190500000.0,10590000000.0,1766600000.0,8418300000.0,15227600000.0,13461000000.0,-605400000.0,780600000.0,175200000.0,14089067500.0,10590000000.0,28002700000.0,,,904059000.0,897538000.0,11.71,11.798943,10590000000.0,,10590000000.0,,10590000000.0,,10590000000.0,10590000000.0,2090400000.0,12680400000.0,-3754200000.0,436300000.0,-4141000000.0,3280400000.0,-605400000.0,780600000.0,175200000.0,17040000000.0,19584400000.0,10990600000.0,8593800000.0,36624400000.0,8418300000.0,45042700000.0,45042700000.0,,,,,-49500000.0,,,,,,8593800000.0,8593800000.0,-461700000.0,435000000.0,425600000.0,,,,,,,,,
LLY,2023-12-31,-781427700.0,0.201,12455500000.0,-3887700000.0,-3887700000.0,5240400000.0,1527300000.0,7082200000.0,8567800000.0,7040500000.0,-312300000.0,485900000.0,173600000.0,8346672300.0,5240400000.0,23798700000.0,,,903284000.0,899379000.0,5.8,5.826687,5240400000.0,,5240400000.0,,5240400000.0,,5240400000.0,5240400000.0,1314200000.0,6554600000.0,-3458500000.0,429200000.0,-3867500000.0,3799800000.0,-312300000.0,485900000.0,173600000.0,10325400000.0,16716500000.0,9313400000.0,7403100000.0,27041900000.0,7082200000.0,34124100000.0,34124100000.0,,,,,-20200000.0,,,,,,7403100000.0,7403100000.0,-461900000.0,3799800000.0,67700000.0,,,,,,,,,
LLY,2022-12-31,-129795400.0,0.083,10224300000.0,-1563800000.0,-1563800000.0,6244800000.0,1522500000.0,6629800000.0,8660500000.0,7138000000.0,-268800000.0,331600000.0,62800000.0,7678804600.0,6244800000.0,20261000000.0,,,950182000.0,950182000.0,6.572215,6.572215,6244800000.0,,6244800000.0,,6244800000.0,,6244800000.0,6244800000.0,561600000.0,6806400000.0,-1205200000.0,358600000.0,-1153100000.0,908500000.0,-268800000.0,331600000.0,62800000.0,8280400000.0,13631200000.0,7190800000.0,6440400000.0,21911600000.0,6629800000.0,28541400000.0,28541400000.0,,,,,-410700000.0,,,,,,6440400000.0,6440400000.0,-372900000.0,908500000.0,244600000.0,,,,,,,,,
